year,County,Race_Ethnicity,leadingcause,Count,Annotation_Code,Annotation_Desc
2017,Alpine,Non-Hispanic Multi-Race,DIA,0,,
2017,Alpine,Non-Hispanic Native American/Alaskan Native,DIA,0,,
2017,Alpine,Non-Hispanic Other/Unknown,DIA,0,,
2017,Alpine,Non-Hispanic Pacific Islander/Native Hawaiian,DIA,0,,
2017,Alpine,Non-Hispanic White,DIA,0,,
2017,Alpine,Hispanic,HOM,0,,
2017,Alpine,Non-Hispanic Asian,HOM,0,,
2017,Alpine,Non-Hispanic Black/African-American,HOM,0,,
2017,Alpine,Non-Hispanic Multi-Race,HOM,0,,
2017,Alpine,Non-Hispanic Native American/Alaskan Native,HOM,0,,
2017,Alpine,Non-Hispanic Other/Unknown,HOM,0,,
2017,Alpine,Non-Hispanic Pacific Islander/Native Hawaiian,HOM,0,,
2017,Alpine,Non-Hispanic White,HOM,0,,
2017,Alpine,Hispanic,HTD,0,,
2017,Alpine,Non-Hispanic Asian,HTD,0,,
2017,Alpine,Non-Hispanic Black/African-American,HTD,0,,
2017,Alpine,Non-Hispanic Multi-Race,HTD,,1,Cell suppressed for small numbers
2017,Alpine,Non-Hispanic Native American/Alaskan Native,HTD,0,,
2017,Alpine,Non-Hispanic Other/Unknown,HTD,0,,
2017,Alpine,Non-Hispanic Pacific Islander/Native Hawaiian,HTD,0,,
2017,Alpine,Non-Hispanic White,HTD,,1,Cell suppressed for small numbers
2017,Alpine,Hispanic,HYP,0,,
2017,Alpine,Non-Hispanic Asian,HYP,0,,
2017,Alpine,Non-Hispanic Black/African-American,HYP,0,,
2017,Alpine,Non-Hispanic Multi-Race,HYP,0,,
2017,Alpine,Non-Hispanic Native American/Alaskan Native,HYP,0,,
2017,Alpine,Non-Hispanic Other/Unknown,HYP,0,,
2017,Alpine,Non-Hispanic Pacific Islander/Native Hawaiian,HYP,0,,
2017,Alpine,Non-Hispanic White,HYP,,1,Cell suppressed for small numbers
2017,Alpine,Hispanic,INJ,,1,Cell suppressed for small numbers
2017,Alpine,Non-Hispanic Asian,INJ,0,,
2017,Alpine,Non-Hispanic Black/African-American,INJ,0,,
2017,Alpine,Non-Hispanic Multi-Race,INJ,0,,
2017,Alpine,Non-Hispanic Native American/Alaskan Native,INJ,0,,
2017,Alpine,Non-Hispanic Other/Unknown,INJ,0,,
2017,Alpine,Non-Hispanic Pacific Islander/Native Hawaiian,INJ,0,,
2017,Alpine,Non-Hispanic White,INJ,,1,Cell suppressed for small numbers
2017,Alpine,Hispanic,LIV,0,,
2017,Alpine,Non-Hispanic Asian,LIV,0,,
2017,Alpine,Non-Hispanic Black/African-American,LIV,0,,
2017,Alpine,Non-Hispanic Multi-Race,LIV,0,,
2017,Alpine,Non-Hispanic Native American/Alaskan Native,LIV,,1,Cell suppressed for small numbers
2017,Alpine,Non-Hispanic Other/Unknown,LIV,0,,
2017,Alpine,Non-Hispanic Pacific Islander/Native Hawaiian,LIV,0,,
2017,Alpine,Non-Hispanic White,LIV,0,,
2017,Alpine,Hispanic,NEP,0,,
2017,Alpine,Non-Hispanic Asian,NEP,0,,
2017,Alpine,Non-Hispanic Black/African-American,NEP,0,,
2017,Alpine,Non-Hispanic Multi-Race,NEP,0,,
2017,Alpine,Non-Hispanic Native American/Alaskan Native,NEP,0,,
2017,Alpine,Non-Hispanic Other/Unknown,NEP,0,,
2017,Alpine,Non-Hispanic Pacific Islander/Native Hawaiian,NEP,0,,
2017,Alpine,Non-Hispanic White,NEP,0,,
2017,Alpine,Hispanic,OTH,0,,
2017,Alpine,Non-Hispanic Asian,OTH,0,,
2017,Alpine,Non-Hispanic Black/African-American,OTH,0,,
2017,Alpine,Non-Hispanic Multi-Race,OTH,0,,
2017,Alpine,Non-Hispanic Native American/Alaskan Native,OTH,0,,
2017,Alpine,Non-Hispanic Other/Unknown,OTH,0,,
2017,Alpine,Non-Hispanic Pacific Islander/Native Hawaiian,OTH,0,,
2017,Alpine,Non-Hispanic White,OTH,0,,
2017,Alpine,Hispanic,PNF,0,,
2017,Alpine,Non-Hispanic Asian,PNF,0,,
2017,Alpine,Non-Hispanic Black/African-American,PNF,0,,
2017,Alpine,Non-Hispanic Multi-Race,PNF,0,,
2017,Alpine,Non-Hispanic Native American/Alaskan Native,PNF,0,,
2017,Alpine,Non-Hispanic Other/Unknown,PNF,0,,
2017,Alpine,Non-Hispanic Pacific Islander/Native Hawaiian,PNF,0,,
2017,Alpine,Non-Hispanic White,PNF,0,,
2017,Alpine,Hispanic,STK,0,,
2017,Alpine,Non-Hispanic Asian,STK,0,,
2017,Alpine,Non-Hispanic Black/African-American,STK,0,,
2017,Alpine,Non-Hispanic Multi-Race,STK,0,,
2017,Alpine,Non-Hispanic Native American/Alaskan Native,STK,0,,
2017,Alpine,Non-Hispanic Other/Unknown,STK,0,,
2017,Alpine,Non-Hispanic Pacific Islander/Native Hawaiian,STK,0,,
2017,Alpine,Non-Hispanic White,STK,,1,Cell suppressed for small numbers
2017,Alpine,Hispanic,SUI,0,,
2017,Alpine,Non-Hispanic Asian,SUI,0,,
2017,Alpine,Non-Hispanic Black/African-American,SUI,0,,
2017,Alpine,Non-Hispanic Multi-Race,SUI,0,,
2017,Alpine,Non-Hispanic Native American/Alaskan Native,SUI,0,,
2017,Alpine,Non-Hispanic Other/Unknown,SUI,0,,
2017,Alpine,Non-Hispanic Pacific Islander/Native Hawaiian,SUI,0,,
2017,Alpine,Non-Hispanic White,SUI,0,,
2017,Amador,Hispanic,ALZ,0,,
2017,Amador,Non-Hispanic Asian,ALZ,0,,
2017,Amador,Non-Hispanic Black/African-American,ALZ,0,,
2017,Amador,Non-Hispanic Multi-Race,ALZ,0,,
